T;V;P;P2;
324.019;91.532;164.143;203.3150668;
324.019;91.532;163.604;203.3150668;
323.318;91.532;163.604;203.3150668;
323.318;91.532;163.604;203.3150668;
323.318;91.532;163.066;203.3150668;
322.616;91.532;163.066;203.3150668;
322.616;91.532;163.066;203.3150668;
322.265;91.532;162.527;203.3150668;
322.265;91.532;162.527;203.3150668;
321.915;91.532;162.527;203.3150668;
321.915;91.532;162.527;203.3150668;
321.213;91.532;162.527;203.3150668;
321.213;91.532;162.527;203.3150668;
320.862;91.532;162.527;203.3150668;
320.511;91.532;162.527;203.3150668;
320.511;91.532;162.527;203.3150668;
320.511;91.532;161.988;203.3150668;
319.81;91.532;162.527;203.3150668;
319.81;91.532;161.988;203.3150668;
319.81;91.532;161.988;203.3150668;
319.108;91.532;161.988;203.3150668;
319.108;91.532;161.449;203.3150668;
319.108;91.532;161.988;203.3150668;
319.108;91.532;161.449;203.3150668;
319.108;91.532;161.449;203.3150668;
318.407;91.532;161.449;203.3150668;
318.407;91.532;161.449;203.3150668;
318.407;91.532;161.449;203.3150668;
317.705;91.532;161.449;203.3150668;
317.705;91.532;160.91;203.3150668;
317.705;91.371;161.449;203.8167945;
317.705;91.532;161.449;203.3150668;
317.354;91.532;161.449;203.3150668;
317.004;91.532;160.91;203.3150668;
317.004;91.532;160.91;203.3150668;
317.004;91.532;160.372;203.3150668;
316.653;91.532;160.91;203.3150668;
316.302;91.692;160.372;202.8185493;
316.302;91.532;160.91;203.3150668;
316.302;91.532;160.372;203.3150668;
316.302;91.532;160.372;203.3150668;
316.302;91.532;160.372;203.3150668;
315.951;91.532;160.372;203.3150668;
315.601;91.532;160.372;203.3150668;
315.601;91.532;160.372;203.3150668;
315.25;91.532;160.372;203.3150668;
315.25;91.532;160.372;203.3150668;
315.25;91.532;160.372;203.3150668;
314.899;91.532;160.372;203.3150668;
314.899;91.532;160.372;203.3150668;
314.548;91.532;160.372;203.3150668;
314.548;91.532;160.372;203.3150668;
314.197;91.532;159.833;203.3150668;
314.197;91.532;160.372;203.3150668;
314.197;91.532;159.833;203.3150668;
314.197;91.532;159.833;203.3150668;
314.197;91.532;159.833;203.3150668;
313.847;91.532;159.833;203.3150668;
313.496;91.532;159.833;203.3150668;
313.496;91.532;159.833;203.3150668;
313.496;91.532;159.833;203.3150668;
313.496;91.532;159.833;203.3150668;
313.496;91.532;159.833;203.3150668;
313.496;91.532;159.294;203.3150668;
313.496;91.532;159.833;203.3150668;
312.794;91.532;159.833;203.3150668;
312.794;91.532;159.833;203.3150668;
312.444;91.532;159.833;203.3150668;
312.444;91.532;159.833;203.3150668;
312.444;91.532;159.833;203.3150668;
312.093;91.532;159.294;203.3150668;
312.093;91.532;159.294;203.3150668;
312.093;91.532;159.833;203.3150668;
312.093;91.532;159.294;203.3150668;
311.742;91.532;159.294;203.3150668;
311.742;91.532;159.294;203.3150668;
311.391;91.532;159.294;203.3150668;
311.391;91.532;159.294;203.3150668;
311.391;91.532;159.294;203.3150668;
311.04;91.532;159.294;203.3150668;
311.04;91.532;158.755;203.3150668;
311.04;91.371;159.294;203.8167945;
310.69;91.532;158.755;203.3150668;
310.69;91.532;158.755;203.3150668;
310.69;91.532;158.755;203.3150668;
310.69;91.532;158.755;203.3150668;
310.69;91.532;158.755;203.3150668;
310.69;91.532;158.755;203.3150668;
310.69;91.532;158.755;203.3150668;
309.988;91.532;158.755;203.3150668;
309.988;91.532;158.755;203.3150668;
309.988;91.532;158.755;203.3150668;
309.988;91.532;158.755;203.3150668;
309.988;91.532;158.216;203.3150668;
309.637;91.532;158.216;203.3150668;
309.637;91.532;158.755;203.3150668;
309.287;91.532;158.216;203.3150668;
309.287;91.532;158.216;203.3150668;
309.287;91.532;158.216;203.3150668;
309.287;91.532;158.216;203.3150668;
309.287;91.532;158.216;203.3150668;
308.936;91.532;158.216;203.3150668;
309.287;91.371;158.216;203.8167945;
308.936;91.532;158.216;203.3150668;
308.936;91.532;158.216;203.3150668;
308.585;91.532;158.216;203.3150668;
308.585;91.532;158.216;203.3150668;
308.585;91.532;158.216;203.3150668;
308.585;91.532;158.216;203.3150668;
308.585;91.532;158.216;203.3150668;
308.585;91.532;158.216;203.3150668;
308.234;91.532;158.216;203.3150668;
308.234;91.532;158.216;203.3150668;
308.585;91.371;158.216;203.8167945;
308.234;91.532;158.216;203.3150668;
308.234;91.532;158.216;203.3150668;
307.883;91.532;158.216;203.3150668;
307.883;91.532;158.216;203.3150668;
307.883;91.532;158.216;203.3150668;
307.883;91.532;158.216;203.3150668;
307.883;91.532;158.216;203.3150668;
307.883;91.532;157.677;203.3150668;
307.883;91.532;157.677;203.3150668;
307.883;91.532;157.677;203.3150668;
307.883;91.532;158.216;203.3150668;
307.883;91.532;158.216;203.3150668;
307.883;91.532;158.216;203.3150668;
307.883;91.532;157.677;203.3150668;
307.883;91.532;157.677;203.3150668;
307.883;91.532;158.216;203.3150668;
307.883;91.371;158.216;203.8167945;
307.883;91.371;158.216;203.8167945;
307.883;91.371;158.216;203.8167945;
307.182;91.371;158.216;203.8167945;
307.182;91.371;158.216;203.8167945;
307.182;91.532;158.216;203.3150668;
307.182;91.532;158.216;203.3150668;
306.831;91.532;157.677;203.3150668;
306.831;91.532;157.677;203.3150668;
306.831;91.532;157.677;203.3150668;
306.831;91.532;157.677;203.3150668;
306.831;91.532;157.677;203.3150668;
306.831;91.532;157.677;203.3150668;
306.48;91.532;157.677;203.3150668;
306.48;91.371;157.677;203.8167945;
306.48;91.532;157.677;203.3150668;
306.48;91.532;157.677;203.3150668;
306.48;91.371;157.677;203.8167945;
306.48;91.532;157.677;203.3150668;
306.48;91.371;157.677;203.8167945;
