T;V;P;PI;
291.046;198.687;101.102;;
291.046;198.527;101.641;;
291.046;198.527;101.641;;
291.046;198.527;101.641;;
291.046;198.687;101.641;;
291.397;198.527;101.641;;
291.397;198.687;101.641;;
291.397;198.687;101.641;;
291.397;198.687;101.641;;
291.397;198.527;101.641;;
291.397;198.527;101.641;;
291.748;198.527;101.641;;
291.397;198.687;101.641;;
291.748;198.527;101.641;;
291.748;198.527;101.641;;
291.748;198.687;102.18;;
291.748;198.687;101.641;;
291.748;198.527;101.641;;
291.748;198.527;102.18;;
291.748;198.527;101.641;;
291.748;198.687;101.641;;
291.748;198.527;101.641;;
291.748;198.687;101.641;;
291.748;198.527;101.641;;
291.748;198.687;101.641;;
291.748;198.527;101.641;;
292.098;198.527;102.18;;
292.098;198.687;102.18;;
292.098;198.527;102.18;;
292.098;198.687;101.641;;
292.449;198.527;102.18;;
292.449;198.527;102.18;;
292.449;198.527;101.641;;
292.449;198.527;102.18;;
292.449;198.527;102.18;;
292.449;198.527;101.641;;
292.449;198.527;102.18;;
292.449;198.687;102.18;;
292.449;198.687;102.18;;
292.449;198.527;102.18;;
292.449;198.527;102.18;;
292.449;198.687;102.18;;
292.449;198.527;102.18;;
292.449;198.527;102.18;;
292.449;198.527;102.18;;
292.449;198.687;102.18;;
292.8;198.527;102.18;;
292.8;198.527;102.18;;
292.449;198.527;102.18;;
292.8;198.527;102.18;;
292.8;198.527;102.18;;
292.8;198.527;102.18;;
292.8;198.527;102.18;;
293.151;198.527;102.18;;
293.151;198.527;102.18;;
293.151;198.527;102.18;;
293.151;198.527;102.18;;
293.151;198.527;102.18;;
293.151;198.527;102.18;;
293.151;198.527;102.18;;
293.151;198.687;102.18;;
293.151;198.527;102.18;;
293.502;198.527;102.18;;
293.151;198.527;102.18;;
293.852;198.527;102.18;;
293.852;198.366;102.18;;
293.852;198.527;102.18;105.2288919;
293.852;198.206;102.18;105.399313;
293.852;198.206;102.719;105.399313;
293.852;198.045;102.719;105.484997;
293.852;197.884;102.719;105.5708204;
293.852;197.884;103.258;105.5708204;
294.203;197.563;102.719;105.7423517;
294.203;197.402;103.258;105.8285946;
294.203;197.242;103.258;105.9144413;
294.554;196.76;103.797;106.1738983;
294.554;196.438;103.797;106.3479379;
294.905;196.278;104.335;106.4346296;
295.255;195.956;104.335;106.6095258;
295.255;195.474;104.335;106.8724036;
295.255;194.992;104.874;107.1365811;
295.606;194.671;105.413;107.3132425;
295.957;194.35;105.413;107.4904874;
295.957;193.868;105.952;107.7577333;
296.659;193.547;105.952;107.9364507;
296.659;193.386;106.491;108.0263113;
296.659;192.904;106.491;108.2962314;
297.009;192.583;106.491;108.4767411;
